account length,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,Phone Number,Probability_Churned (%),Risk Category
136,1,0,0,183.4,103,31.18,141.9,113,12.06,200.4,122,9.02,10.4,9,2.81,2,392-1547,79.8,Critical Risk
95,0,0,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,334-2577,79.66,Critical Risk
155,1,0,0,163.1,94,27.73,291.7,108,24.79,96.4,111,4.34,11.2,3,3.02,0,334-2961,79.56,Critical Risk
138,1,0,0,169.3,82,28.78,217.9,147,18.52,184.2,77,8.29,9.4,9,2.54,1,331-6629,79.53,Critical Risk
142,0,0,0,232.5,74,39.53,181.8,142,15.45,203.1,86,9.14,10.4,6,2.81,4,378-4617,79.43,Critical Risk
81,0,1,46,168.3,124,28.61,270.9,103,23.03,222.5,98,10.01,6.7,2,1.81,4,347-6717,79.32,Critical Risk
4,1,0,0,145.3,89,24.7,303.8,93,25.82,206.1,82,9.27,8.9,4,2.4,0,413-6346,79.25,Critical Risk
148,1,0,0,233.5,81,39.7,187.7,71,15.95,122.3,97,5.5,9.6,2,2.59,0,385-1118,79.18,Critical Risk
149,0,0,0,217.7,91,37.01,273.5,74,23.25,226.9,99,10.21,9.6,3,2.59,3,340-3500,78.78,Critical Risk
87,1,1,36,171.2,138,29.1,185.8,102,15.79,227.6,97,10.24,10.8,3,2.92,1,417-1360,78.01,Critical Risk
77,0,0,0,175.5,86,29.84,205.1,78,17.43,245.2,100,11.03,17.8,3,4.81,4,335-2261,77.84,Critical Risk
113,0,0,0,239.7,47,40.75,282.9,110,24.05,238.4,88,10.73,8.7,3,2.35,2,352-4418,77.79,Critical Risk
81,0,0,0,166.2,102,28.25,217.6,112,18.5,220.2,68,9.91,13.2,2,3.56,4,346-1095,77.26,Critical Risk
112,1,0,0,161.9,138,27.52,200.9,114,17.08,134.0,134,6.03,10.7,4,2.89,1,330-2693,77.11,Critical Risk
3,1,0,0,161.0,96,27.37,244.9,82,20.82,180.8,103,8.14,7.7,6,2.08,1,407-8012,76.96,Critical Risk
209,0,0,0,227.2,128,38.62,258.4,92,21.96,183.5,74,8.26,8.9,4,2.4,3,413-5310,76.91,Critical Risk
139,1,1,31,203.5,82,34.6,200.3,72,17.03,214.0,112,9.63,13.4,6,3.62,1,388-2240,76.85,Critical Risk
82,0,0,0,167.1,77,28.41,131.8,79,11.2,187.4,98,8.43,9.4,1,2.54,6,356-5475,76.66,Critical Risk
74,0,0,0,298.1,112,50.68,201.3,100,17.11,214.7,88,9.66,9.7,4,2.62,2,413-2194,76.65,Critical Risk
144,1,1,35,174.8,127,29.72,219.6,93,18.67,255.8,90,11.51,12.8,3,3.46,0,416-9021,76.52,Critical Risk
208,0,0,0,326.5,67,55.51,176.3,113,14.99,181.7,102,8.18,10.7,6,2.89,2,378-3625,76.37,Critical Risk
87,1,0,0,167.3,119,28.44,198.5,119,16.87,133.1,88,5.99,11.0,6,2.97,1,417-1272,76.21,Critical Risk
184,1,0,0,213.8,105,36.35,159.6,84,13.57,139.2,137,6.26,5.0,10,1.35,2,364-6381,76.0,Critical Risk
103,1,0,0,62.8,124,10.68,170.4,66,14.48,280.2,78,12.61,9.4,4,2.54,3,342-3678,75.96,Critical Risk
104,0,0,0,167.6,116,28.49,219.2,112,18.63,215.9,94,9.72,11.7,2,3.16,4,420-3346,75.87,Critical Risk
147,1,0,0,183.8,113,31.25,164.7,110,14.0,111.0,87,5.0,10.1,4,2.73,1,357-5995,75.46,Critical Risk
92,0,0,0,154.0,122,26.18,329.8,88,28.03,288.0,117,12.96,5.6,2,1.51,3,405-3916,75.38,Critical Risk
39,0,0,0,295.4,126,50.22,232.1,117,19.73,204.4,123,9.2,11.5,2,3.11,1,359-4336,75.09,Critical Risk
58,0,0,0,247.2,116,42.02,303.7,103,25.81,105.4,94,4.74,9.3,2,2.51,2,409-2983,74.97,High Risk
62,0,0,0,182.3,101,30.99,328.2,93,27.9,245.0,131,11.03,11.2,1,3.02,2,377-9932,74.84,High Risk
38,0,0,0,175.7,109,29.87,211.8,97,18.0,137.9,109,6.21,9.2,3,2.48,5,399-5291,74.8,High Risk
98,0,1,36,168.0,81,28.56,163.2,125,13.87,172.7,120,7.77,8.0,2,2.16,6,333-3010,74.44,High Risk
185,1,1,30,154.1,114,26.2,118.7,106,10.09,258.4,105,11.63,12.9,3,3.48,2,405-7904,74.39,High Risk
2,1,0,0,132.1,42,22.46,138.9,88,11.81,192.6,119,8.67,9.1,1,2.46,2,415-8448,74.23,High Risk
97,0,0,0,256.4,125,43.59,273.9,100,23.28,222.7,101,10.02,11.1,1,3.0,1,405-6189,74.21,High Risk
180,0,0,0,224.9,105,38.23,250.0,101,21.25,216.1,73,9.72,6.7,5,1.81,3,369-1929,74.03,High Risk
133,0,0,0,277.3,138,47.14,228.4,117,19.41,117.3,103,5.28,12.8,4,3.46,2,387-9137,73.85,High Risk
82,0,0,0,185.8,36,31.59,276.5,134,23.5,192.1,104,8.64,5.7,7,1.54,4,343-2741,73.56,High Risk
147,0,1,38,243.4,126,41.38,273.8,109,23.27,282.9,91,12.73,14.1,8,3.81,2,400-7280,73.56,High Risk
160,0,0,0,234.9,136,39.93,270.8,134,23.02,219.3,101,9.87,13.9,2,3.75,1,360-2329,73.42,High Risk
90,0,0,0,207.2,121,35.22,292.5,104,24.86,226.3,103,10.18,8.0,1,2.16,2,416-2825,73.19,High Risk
99,0,0,0,146.7,64,24.94,274.0,99,23.29,321.3,98,14.46,8.9,1,2.4,3,363-8824,73.18,High Risk
105,1,0,0,228.4,100,38.83,145.1,108,12.33,245.3,140,11.04,7.7,7,2.08,0,376-4540,73.02,High Risk
61,0,1,33,270.7,53,46.02,200.7,116,17.06,201.7,102,9.08,10.9,3,2.94,3,349-5617,72.81,High Risk
74,0,1,31,249.4,70,42.4,209.5,59,17.81,180.6,75,8.13,9.9,2,2.67,4,340-8245,72.64,High Risk
40,0,0,0,81.7,123,13.89,210.2,108,17.87,212.0,64,9.54,11.3,3,3.05,6,350-7114,72.53,High Risk
114,0,0,0,147.1,119,25.01,161.0,111,13.69,275.9,106,12.42,9.0,3,2.43,5,354-5689,72.44,High Risk
34,0,0,0,293.7,89,49.93,272.5,71,23.16,178.2,76,8.02,11.0,10,2.97,2,374-1981,71.94,High Risk
37,0,0,0,221.0,126,37.57,204.5,110,17.38,118.0,98,5.31,6.8,3,1.84,4,413-2238,71.9,High Risk
113,0,0,0,209.4,151,35.6,347.3,113,29.52,246.0,116,11.07,7.4,2,2.0,1,353-6007,71.9,High Risk
78,0,0,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,400-9510,71.76,High Risk
85,0,0,0,255.3,114,43.4,194.6,83,16.54,276.6,78,12.45,3.7,5,1.0,3,363-1208,71.68,High Risk
36,0,0,0,202.4,115,34.41,230.7,115,19.61,202.0,127,9.09,10.2,2,2.75,3,336-1462,71.57,High Risk
145,1,1,30,175.3,107,29.8,153.3,116,13.03,233.6,85,10.51,11.1,3,3.0,1,405-6398,71.53,High Risk
100,0,0,0,70.8,94,12.04,215.6,102,18.33,230.8,125,10.39,9.5,1,2.57,6,382-4932,71.53,High Risk
188,1,1,26,198.8,115,33.8,166.6,67,14.16,198.5,118,8.93,14.4,3,3.89,1,369-6890,71.39,High Risk
129,0,0,0,186.0,127,31.62,262.3,96,22.3,98.9,63,4.45,11.5,6,3.11,4,355-9475,71.0,High Risk
64,0,0,0,148.1,73,25.18,164.9,101,14.02,216.0,125,9.72,12.3,2,3.32,5,350-7306,70.97,High Risk
129,0,0,0,143.7,114,24.43,297.8,98,25.31,212.6,86,9.57,11.4,8,3.08,4,379-3132,70.64,High Risk
128,0,0,0,247.3,91,42.04,182.7,60,15.53,143.2,112,6.44,14.7,2,3.97,3,353-7461,70.6,High Risk
7,0,0,0,206.7,87,35.14,281.1,83,23.89,158.5,77,7.13,11.0,5,2.97,3,358-9146,70.41,High Risk
92,0,0,0,201.9,74,34.32,226.8,119,19.28,217.5,80,9.79,13.7,6,3.7,3,349-9566,70.31,High Risk
123,0,0,0,206.9,85,35.17,244.7,78,20.8,221.5,136,9.97,7.7,2,2.08,3,402-6591,70.25,High Risk
108,0,0,0,210.7,112,35.82,238.7,73,20.29,253.6,90,11.41,9.2,5,2.48,3,365-1688,70.16,High Risk
101,0,1,28,220.3,96,37.45,285.8,72,24.29,203.0,111,9.14,9.4,6,2.54,4,367-9127,70.13,High Risk
147,0,1,33,251.5,107,42.76,234.1,110,19.9,213.4,87,9.6,10.4,6,2.81,3,421-7205,70.0,High Risk
128,1,0,0,245.2,112,41.68,101.5,101,8.63,152.3,116,6.85,10.7,5,2.89,0,353-6038,69.87,High Risk
88,0,0,0,264.8,124,45.02,245.4,112,20.86,160.5,115,7.22,14.8,2,4.0,1,418-6737,69.63,High Risk
77,0,0,0,233.8,104,39.75,266.5,94,22.65,212.7,104,9.57,7.6,3,2.05,2,409-8814,69.24,High Risk
62,0,0,0,248.7,109,42.28,220.0,118,18.7,265.7,78,11.96,13.2,2,3.56,1,366-7912,69.14,High Risk
126,0,0,0,256.5,112,43.61,199.5,90,16.96,188.3,122,8.47,7.0,5,1.89,3,363-9663,69.0,High Risk
27,0,0,0,177.6,121,30.19,296.8,92,25.23,192.9,106,8.68,7.6,3,2.05,3,398-7414,68.97,High Risk
155,1,1,26,211.7,121,35.99,139.2,123,11.83,146.7,89,6.6,11.1,3,3.0,1,346-8362,68.95,High Risk
37,0,0,0,239.9,120,40.78,261.6,88,22.24,207.1,88,9.32,8.9,4,2.4,2,328-8980,68.84,High Risk
21,0,1,31,135.9,90,23.1,271.0,84,23.04,179.1,89,8.06,9.5,7,2.57,6,383-5976,68.65,High Risk
106,0,0,0,207.9,91,35.34,172.0,109,14.62,191.8,143,8.63,14.4,7,3.89,4,365-2153,68.6,High Risk
37,0,0,0,271.7,112,46.19,155.1,96,13.18,199.5,97,8.98,6.6,4,1.78,3,340-5678,68.26,High Risk
101,0,0,0,248.6,102,42.26,174.9,93,14.87,207.2,86,9.32,6.1,3,1.65,3,352-7234,67.89,High Risk
136,0,0,0,250.2,121,42.53,267.1,118,22.7,151.0,114,6.8,13.0,2,3.51,1,375-1476,67.75,High Risk
130,0,0,0,155.9,95,26.5,256.1,97,21.77,262.9,103,11.83,11.7,3,3.16,3,403-5279,67.72,High Risk
109,1,1,26,217.2,138,36.92,145.5,111,12.37,280.7,76,12.63,9.3,3,2.51,0,402-9691,67.7,High Risk
119,0,0,0,230.4,117,39.17,225.0,101,19.13,198.5,111,8.93,7.6,6,2.05,3,327-4795,67.5,High Risk
102,0,0,0,242.2,88,41.17,233.2,89,19.82,188.5,121,8.48,6.2,6,1.67,3,381-2726,67.43,High Risk
201,0,0,0,225.9,110,38.4,299.1,86,25.42,251.3,81,11.31,11.2,4,3.02,1,415-5476,67.38,High Risk
112,0,1,27,213.0,121,36.21,226.2,101,19.23,189.8,99,8.54,11.1,3,3.0,4,418-5708,67.32,High Risk
167,0,0,0,169.2,124,28.76,173.3,108,14.73,216.5,64,9.74,12.4,4,3.35,4,416-5660,67.24,High Risk
1,0,0,0,182.1,106,30.96,134.9,106,11.47,152.3,75,6.85,10.0,3,2.7,5,396-4254,67.24,High Risk
41,0,0,0,237.8,92,40.43,223.5,155,19.0,217.4,90,9.78,10.2,6,2.75,2,417-6906,67.02,High Risk
110,0,0,0,196.1,103,33.34,199.7,123,16.97,135.9,71,6.12,12.9,1,3.48,3,348-1706,67.01,High Risk
181,1,0,0,161.3,83,27.42,124.4,83,10.57,262.0,98,11.79,14.1,3,3.81,0,421-8537,66.33,High Risk
144,0,1,51,283.9,98,48.26,192.0,109,16.32,196.3,85,8.83,10.0,4,2.7,1,376-4484,66.26,High Risk
56,0,0,0,162.3,99,27.59,149.1,78,12.67,255.5,115,11.5,14.8,1,4.0,4,406-3069,66.23,High Risk
120,0,0,0,177.2,88,30.12,270.4,99,22.98,231.5,90,10.42,14.0,2,3.78,2,369-5810,66.15,High Risk
63,0,0,0,211.8,84,36.01,230.9,137,19.63,217.1,99,9.77,10.7,9,2.89,3,408-6725,65.95,High Risk
123,0,0,0,257.9,92,43.84,211.6,71,17.99,189.3,104,8.52,9.4,2,2.54,2,329-5114,65.9,High Risk
172,0,1,47,274.9,102,46.73,186.6,118,15.86,245.0,123,11.03,8.8,2,2.38,1,331-5962,65.74,High Risk
85,0,0,0,236.9,93,40.27,197.7,113,16.8,309.1,78,13.91,11.4,7,3.08,2,366-2273,65.69,High Risk
89,0,0,0,129.2,71,21.96,214.1,68,18.2,214.9,100,9.67,10.3,4,2.78,5,347-2016,65.65,High Risk
135,1,1,24,127.7,54,21.71,215.0,105,18.28,234.3,84,10.54,5.8,4,1.57,2,378-4013,65.64,High Risk
145,0,1,43,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3.0,2,366-6730,65.55,High Risk
61,0,0,0,267.1,104,45.41,180.4,131,15.33,230.6,106,10.38,17.3,4,4.67,1,420-8897,65.54,High Risk
163,0,1,40,231.9,56,39.42,211.8,91,18.0,268.5,74,12.08,12.3,3,3.32,2,398-8122,65.33,High Risk
118,0,0,0,189.3,119,32.18,233.5,112,19.85,270.9,104,12.19,10.0,1,2.7,2,421-9034,65.25,High Risk
115,0,0,0,178.7,114,30.38,271.0,96,23.04,245.9,94,11.07,16.4,5,4.43,2,393-5802,64.83,High Risk
116,0,0,0,288.0,120,48.96,255.8,90,21.74,233.4,99,10.5,13.4,4,3.62,0,373-6922,64.8,High Risk
19,0,0,0,259.4,116,44.1,269.7,109,22.92,175.3,130,7.89,9.5,3,2.57,1,408-5322,64.03,High Risk
83,0,0,0,221.4,103,37.64,231.8,103,19.7,122.5,100,5.51,9.8,5,2.65,3,369-4384,63.92,High Risk
80,0,0,0,202.4,118,34.41,260.2,67,22.12,177.4,112,7.98,9.2,5,2.48,3,332-8764,63.5,High Risk
81,0,0,0,324.7,48,55.2,236.4,82,20.09,187.6,78,8.44,13.1,5,3.54,0,406-4100,63.45,High Risk
174,0,0,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,331-3698,63.42,High Risk
35,0,0,0,138.1,115,23.48,158.2,82,13.45,215.7,118,9.71,10.3,2,2.78,5,393-8762,63.19,High Risk
88,0,0,0,274.6,105,46.68,161.1,121,13.69,194.4,123,8.75,9.2,4,2.48,2,354-3040,62.66,High Risk
91,1,0,0,151.8,115,25.81,103.6,116,8.81,156.3,86,7.03,12.2,4,3.29,1,348-9383,62.56,High Risk
118,0,0,0,188.8,60,32.1,217.4,64,18.48,220.1,100,9.9,8.2,7,2.21,4,328-1222,62.45,High Risk
154,1,0,0,145.9,69,24.8,208.2,141,17.7,180.9,106,8.14,14.4,10,3.89,0,374-8329,62.43,High Risk
122,0,0,0,231.2,141,39.3,267.8,136,22.76,240.3,100,10.81,8.8,5,2.38,1,395-1901,62.21,High Risk
33,0,0,0,251.9,81,42.82,194.6,96,16.54,211.2,87,9.5,8.4,3,2.27,2,371-9602,61.99,High Risk
58,0,0,0,243.1,105,41.33,231.4,108,19.67,180.9,120,8.14,7.8,4,2.11,2,328-5050,61.89,High Risk
143,0,0,0,160.4,120,27.27,285.9,104,24.3,182.5,85,8.21,6.9,4,1.86,3,340-4989,61.68,High Risk
131,0,0,0,263.4,123,44.78,151.9,74,12.91,218.5,101,9.83,10.7,2,2.89,2,394-9984,61.67,High Risk
128,0,0,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,358-9095,61.42,High Risk
37,1,0,0,106.6,76,18.12,147.4,89,12.53,235.8,113,10.61,9.6,8,2.59,2,420-2000,60.96,High Risk
108,0,1,32,209.5,108,35.62,109.6,64,9.32,189.7,145,8.54,9.1,6,2.46,6,378-6276,60.87,High Risk
